Author,month.POSIXct,commits,insertions,deletions,full.name
maechler,2020-06-01T07:00:00Z,20,456,339,Martin Maechler
maechler,2020-05-01T07:00:00Z,33,595,301,Martin Maechler
maechler,2020-04-01T07:00:00Z,36,925,1063,Martin Maechler
maechler,2020-03-01T07:00:00Z,28,988,724,Martin Maechler
maechler,2020-02-01T07:00:00Z,17,565,312,Martin Maechler
maechler,2020-01-01T07:00:00Z,30,1319,816,Martin Maechler
maechler,2019-12-01T07:00:00Z,37,1337,850,Martin Maechler
maechler,2019-11-01T07:00:00Z,36,1203,514,Martin Maechler
maechler,2019-10-01T07:00:00Z,29,1482,918,Martin Maechler
maechler,2019-09-01T07:00:00Z,20,524,280,Martin Maechler
maechler,2019-08-01T07:00:00Z,19,157,101,Martin Maechler
maechler,2019-07-01T07:00:00Z,32,961,426,Martin Maechler
maechler,2019-06-01T07:00:00Z,33,1278,460,Martin Maechler
maechler,2019-05-01T07:00:00Z,37,1144,687,Martin Maechler
maechler,2019-04-01T07:00:00Z,47,1288,1420,Martin Maechler
maechler,2019-03-01T07:00:00Z,27,651,294,Martin Maechler
maechler,2019-02-01T07:00:00Z,22,402,205,Martin Maechler
maechler,2019-01-01T07:00:00Z,23,406,164,Martin Maechler
maechler,2018-12-01T07:00:00Z,16,688,224,Martin Maechler
maechler,2018-11-01T07:00:00Z,28,587,297,Martin Maechler
maechler,2018-10-01T07:00:00Z,28,450,243,Martin Maechler
maechler,2018-09-01T07:00:00Z,44,1342,663,Martin Maechler
maechler,2018-08-01T07:00:00Z,38,1463,1003,Martin Maechler
maechler,2018-07-01T07:00:00Z,25,453,200,Martin Maechler
maechler,2018-06-01T07:00:00Z,38,5237,705,Martin Maechler
maechler,2018-05-01T07:00:00Z,31,1884,1266,Martin Maechler
maechler,2018-04-01T07:00:00Z,61,2972,1730,Martin Maechler
maechler,2018-03-01T07:00:00Z,42,1214,853,Martin Maechler
maechler,2018-02-01T07:00:00Z,9,370,219,Martin Maechler
maechler,2018-01-01T07:00:00Z,41,1660,1027,Martin Maechler
maechler,2017-12-01T07:00:00Z,16,621,213,Martin Maechler
maechler,2017-11-01T07:00:00Z,30,974,550,Martin Maechler
maechler,2017-10-01T07:00:00Z,22,796,621,Martin Maechler
maechler,2017-09-01T07:00:00Z,50,1716,1053,Martin Maechler
maechler,2017-08-01T07:00:00Z,51,2378,1197,Martin Maechler
maechler,2017-07-01T07:00:00Z,58,1335,969,Martin Maechler
maechler,2017-06-01T07:00:00Z,23,341,176,Martin Maechler
maechler,2017-05-01T07:00:00Z,16,7034,6678,Martin Maechler
maechler,2017-04-01T07:00:00Z,49,1072,556,Martin Maechler
maechler,2017-03-01T07:00:00Z,29,527,265,Martin Maechler
maechler,2017-02-01T07:00:00Z,30,561,234,Martin Maechler
maechler,2017-01-01T07:00:00Z,42,1732,1120,Martin Maechler
maechler,2016-12-01T07:00:00Z,32,473,273,Martin Maechler
maechler,2016-11-01T07:00:00Z,31,1256,1455,Martin Maechler
maechler,2016-10-01T07:00:00Z,50,1321,820,Martin Maechler
maechler,2016-09-01T07:00:00Z,46,1062,745,Martin Maechler
maechler,2016-08-01T07:00:00Z,45,1627,803,Martin Maechler
maechler,2016-07-01T07:00:00Z,33,676,494,Martin Maechler
maechler,2016-06-01T07:00:00Z,24,391,202,Martin Maechler
maechler,2016-05-01T07:00:00Z,73,1859,1024,Martin Maechler
maechler,2016-04-01T07:00:00Z,38,1171,648,Martin Maechler
maechler,2016-03-01T07:00:00Z,49,1463,1028,Martin Maechler
maechler,2016-02-01T07:00:00Z,42,1364,860,Martin Maechler
maechler,2016-01-01T07:00:00Z,40,1300,723,Martin Maechler
maechler,2015-12-01T07:00:00Z,18,419,181,Martin Maechler
maechler,2015-11-01T07:00:00Z,32,800,518,Martin Maechler
maechler,2015-10-01T07:00:00Z,33,2762,2187,Martin Maechler
maechler,2015-09-01T07:00:00Z,40,792,350,Martin Maechler
maechler,2015-08-01T07:00:00Z,31,739,465,Martin Maechler
maechler,2015-07-01T07:00:00Z,48,1453,960,Martin Maechler
maechler,2015-06-01T07:00:00Z,38,988,609,Martin Maechler
maechler,2015-05-01T07:00:00Z,46,1221,880,Martin Maechler
maechler,2015-04-01T07:00:00Z,49,1474,1037,Martin Maechler
maechler,2015-03-01T07:00:00Z,27,763,559,Martin Maechler
maechler,2015-02-01T07:00:00Z,25,1746,454,Martin Maechler
maechler,2015-01-01T07:00:00Z,49,1074,770,Martin Maechler
maechler,2014-12-01T07:00:00Z,14,438,229,Martin Maechler
maechler,2014-11-01T07:00:00Z,5,247,212,Martin Maechler
maechler,2014-10-01T07:00:00Z,33,1026,920,Martin Maechler
maechler,2014-09-01T07:00:00Z,70,4889,4372,Martin Maechler
maechler,2014-08-01T07:00:00Z,25,522,303,Martin Maechler
maechler,2014-07-01T07:00:00Z,9,238,128,Martin Maechler
maechler,2014-06-01T07:00:00Z,15,590,627,Martin Maechler
maechler,2014-05-01T07:00:00Z,32,1228,783,Martin Maechler
maechler,2014-04-01T07:00:00Z,31,925,595,Martin Maechler
maechler,2014-03-01T07:00:00Z,27,1617,698,Martin Maechler
maechler,2014-02-01T07:00:00Z,8,112,67,Martin Maechler
maechler,2014-01-01T07:00:00Z,12,779,214,Martin Maechler
maechler,2013-12-01T07:00:00Z,3,84,81,Martin Maechler
maechler,2013-11-01T07:00:00Z,30,873,667,Martin Maechler
