id,author,month.str
1,(no author),1997-09
2,r,1997-09
3,(no author),1997-09
4,(no author),1997-09
5,r,1997-09
6,ihaka,1997-09
7,ihaka,1997-09
8,hornik,1997-09
9,hornik,1997-09
10,hornik,1997-09
11,hornik,1997-09
12,hornik,1997-09
13,maechler,1997-09
14,maechler,1997-09
15,maechler,1997-09
16,maechler,1997-09
17,maechler,1997-09
18,maechler,1997-09
19,maechler,1997-09
20,maechler,1997-09
21,maechler,1997-09
22,maechler,1997-09
23,hornik,1997-09
24,hornik,1997-09
25,hornik,1997-09
26,hornik,1997-09
27,maechler,1997-09
28,maechler,1997-09
29,maechler,1997-09
30,maechler,1997-09
31,maechler,1997-09
32,maechler,1997-09
33,maechler,1997-09
34,rgentlem,1997-09
35,rgentlem,1997-09
36,maechler,1997-09
37,hornik,1997-09
38,hornik,1997-09
39,hornik,1997-09
40,hornik,1997-09
41,maechler,1997-09
42,maechler,1997-09
43,rgentlem,1997-09
44,rgentlem,1997-09
45,rgentlem,1997-09
46,rgentlem,1997-09
47,hornik,1997-09
48,hornik,1997-09
49,hornik,1997-09
50,hornik,1997-09
51,hornik,1997-09
52,hornik,1997-09
53,hornik,1997-09
54,hornik,1997-09
55,hornik,1997-09
56,hornik,1997-09
57,hornik,1997-09
58,hornik,1997-09
59,hornik,1997-09
60,hornik,1997-09
61,hornik,1997-09
62,ihaka,1997-09
63,hornik,1997-09
64,ihaka,1997-09
65,ihaka,1997-09
66,ihaka,1997-09
67,hornik,1997-09
68,hornik,1997-09
69,hornik,1997-09
70,hornik,1997-09
71,hornik,1997-09
72,hornik,1997-09
73,hornik,1997-09
74,hornik,1997-09
75,hornik,1997-09
76,ihaka,1997-09
77,ihaka,1997-09
78,ihaka,1997-09
79,ihaka,1997-09
80,rgentlem,1997-09
81,rgentlem,1997-09
82,ihaka,1997-09
83,ihaka,1997-09
84,ihaka,1997-09
85,ihaka,1997-09
86,ihaka,1997-09
87,ihaka,1997-09
88,ihaka,1997-09
89,ihaka,1997-09
90,ihaka,1997-09
91,ihaka,1997-09
92,ihaka,1997-09
93,ihaka,1997-09
94,ihaka,1997-09
95,ihaka,1997-09
96,ihaka,1997-09
97,ihaka,1997-09
98,thomas,1997-09
99,hornik,1997-09
100,hornik,1997-09
101,hornik,1997-09
102,ihaka,1997-09
103,ihaka,1997-09
104,ihaka,1997-09
105,ihaka,1997-09
106,thomas,1997-09
107,ihaka,1997-09
108,ihaka,1997-10
109,rgentlem,1997-10
110,leisch,1997-10
111,leisch,1997-10
112,ihaka,1997-10
113,ihaka,1997-10
114,ihaka,1997-10
115,ihaka,1997-10
116,ihaka,1997-10
117,ihaka,1997-10
118,ihaka,1997-10
119,maechler,1997-10
120,ihaka,1997-10
121,ihaka,1997-10
122,ihaka,1997-10
123,ihaka,1997-10
124,ihaka,1997-10
125,maechler,1997-10
126,maechler,1997-10
127,maechler,1997-10
128,maechler,1997-10
129,maechler,1997-10
130,hornik,1997-10
131,maechler,1997-10
132,maechler,1997-10
133,maechler,1997-10
134,maechler,1997-10
135,maechler,1997-10
136,ihaka,1997-10
137,maechler,1997-10
138,thomas,1997-10
139,maechler,1997-10
140,maechler,1997-10
141,maechler,1997-10
142,maechler,1997-10
143,leisch,1997-10
144,leisch,1997-10
145,maechler,1997-10
146,maechler,1997-10
147,hornik,1997-10
148,hornik,1997-10
149,hornik,1997-10
150,leisch,1997-10
151,leisch,1997-10
152,leisch,1997-10
153,maechler,1997-10
154,maechler,1997-10
155,maechler,1997-10
156,maechler,1997-10
157,maechler,1997-10
158,maechler,1997-10
159,maechler,1997-10
160,maechler,1997-10
161,maechler,1997-10
162,maechler,1997-10
163,leisch,1997-10
164,ihaka,1997-10
165,ihaka,1997-10
166,leisch,1997-10
167,leisch,1997-10
168,maechler,1997-10
169,maechler,1997-10
170,maechler,1997-10
171,maechler,1997-10
172,maechler,1997-10
173,maechler,1997-10
174,maechler,1997-10
175,ihaka,1997-10
176,hornik,1997-10
177,hornik,1997-10
178,hornik,1997-10
179,hornik,1997-10
180,leisch,1997-10
181,pd,1997-10
182,thomas,1997-10
183,ihaka,1997-10
184,leisch,1997-10
185,leisch,1997-10
186,hornik,1997-10
187,leisch,1997-10
188,ihaka,1997-10
189,ihaka,1997-10
190,leisch,1997-10
191,leisch,1997-10
192,ihaka,1997-10
193,ihaka,1997-10
194,maechler,1997-10
195,maechler,1997-10
196,maechler,1997-10
197,maechler,1997-10
198,maechler,1997-10
199,maechler,1997-10
200,pd,1997-10
201,pd,1997-10
202,pd,1997-10
203,maechler,1997-10
204,maechler,1997-10
205,maechler,1997-10
206,maechler,1997-10
207,maechler,1997-10
208,maechler,1997-10
209,maechler,1997-10
210,maechler,1997-10
211,maechler,1997-10
212,maechler,1997-10
213,thomas,1997-10
214,rgentlem,1997-11
215,maechler,1997-11
216,maechler,1997-11
217,maechler,1997-11
218,maechler,1997-11
219,maechler,1997-11
220,maechler,1997-11
221,maechler,1997-11
222,maechler,1997-11
223,maechler,1997-11
224,maechler,1997-11
225,maechler,1997-11
226,maechler,1997-11
227,maechler,1997-11
228,maechler,1997-11
229,maechler,1997-11
230,maechler,1997-11
231,leisch,1997-11
232,leisch,1997-11
233,leisch,1997-11
234,leisch,1997-11
235,ihaka,1997-11
236,ihaka,1997-11
237,ihaka,1997-11
238,ihaka,1997-11
239,ihaka,1997-11
240,ihaka,1997-11
241,ihaka,1997-11
242,ihaka,1997-11
243,maechler,1997-11
244,maechler,1997-11
245,maechler,1997-11
246,maechler,1997-11
247,maechler,1997-11
248,maechler,1997-11
249,maechler,1997-11
250,maechler,1997-11
251,maechler,1997-11
252,maechler,1997-11
253,leisch,1997-11
254,paul,1997-11
255,paul,1997-11
256,paul,1997-11
257,paul,1997-11
258,paul,1997-11
259,leisch,1997-11
260,ihaka,1997-11
261,leisch,1997-11
262,maechler,1997-11
263,maechler,1997-11
264,maechler,1997-11
265,maechler,1997-11
266,maechler,1997-11
267,maechler,1997-11
268,maechler,1997-11
269,maechler,1997-11
270,maechler,1997-11
271,maechler,1997-11
272,maechler,1997-11
273,maechler,1997-11
274,maechler,1997-11
275,maechler,1997-11
276,maechler,1997-11
277,maechler,1997-11
